Symbol,Current_Price,Momentum_Score,Momentum_Rating,Earnings_Trend,Revision_Magnitude,Analyst_Consensus,Surprise_Consistency,Forward_Momentum,Price_Momentum_12M,PE_Ratio,Forward_PE,EPS_Growth,Revenue_Growth,Volatility,Max_Drawdown,Market_Cap_B,Sector,Momentum_Rank,Rank
RELIANCE.NS,1409.199951171875,0.6002423127771428,Positive,0.5,0.838490733178492,0.5018138293252302,0.5,0.6525686361747371,-0.055947319608511625,23.42031,19.613083,0.784,0.051,0.212062791117302,0.271757506018488,19069.998727168,Energy,1.0,1
ICICIBANK.NS,1436.4000244140625,0.5857721936636698,Neutral,0.5,0.6618342503993551,0.6487373811417908,0.5,0.6556615483547306,0.23205810436265417,19.532227,37.85978,0.146,0.108,0.1896159005325058,0.1113958337045816,10255.695085568,Financial Services,2.0,2
TATASTEEL.NS,158.5500030517578,0.5641037688449757,Neutral,0.5,0.7465124361687162,0.4570361919736229,0.5,0.6106842140807214,0.06797977456835436,43.438354,9.164741,1.169,-0.029,0.2861647287188134,0.3168278344845451,1977.403834368,Basic Materials,3.0,3
BPCL.NS,316.45001220703125,0.5623135874653641,Neutral,0.5,0.7962510293629106,0.4242834719918026,0.5,0.533941357262759,-0.06730646159840736,7.800099,10.208065,1.408,-0.005,0.3167353002653427,0.3458878042940802,1373.136617472,Energy,4.0,4
M&M.NS,3403.0,0.5621639410031005,Neutral,0.5,0.708959010986947,0.5131180975447475,0.5,0.5730056874741434,0.23865823446683887,27.85463,25.770714,0.243,0.241,0.29267471071745216,0.2241755895363209,4141.485129728,Consumer Cyclical,5.0,5
LT.NS,3595.800048828125,0.5613027713577552,Neutral,0.5,0.7143534332794957,0.5072172771208098,0.5,0.5627095761371937,0.009256153449396898,31.151348,34.435932,0.298,0.161,0.25797046173572014,0.22626859969367139,4945.51957504,Industrials,6.0,6
HINDALCO.NS,704.2000122070312,0.558649347686253,Neutral,0.5,0.7007382796522793,0.49374833790506845,0.5,0.5971511019216942,0.034662073036248575,9.251183,9.918714,0.303,0.127,0.2976679672713621,0.262293988753309,1563.845197824,Basic Materials,7.0,7
HEROMOTOCO.NS,4997.89990234375,0.5566003152296604,Neutral,0.5,0.7487697362376196,0.48891377741617187,0.5,0.46625125687021074,-0.01588191774065384,19.841597,18.30442,0.631,-0.047,0.26226406125228396,0.42157898845005937,999.919845376,Consumer Cyclical,8.0,8
JSWSTEEL.NS,1054.5999755859375,0.5546985563366876,Neutral,0.5,0.7509765505124585,0.40545708621132875,0.5,0.6086300146630729,0.14219037544097457,53.182045,16.103159,1.588,0.005,0.25209581209620857,0.1495043375032955,2572.823298048,Basic Materials,9.0,9
SBIN.NS,816.25,0.5535577199761388,Neutral,0.5,0.6231900240983602,0.5646495816629199,0.5,0.5983029761896478,0.020955114722935875,9.166199,9.873594,0.097,0.098,0.2494797801837268,0.2394413041964344,7534.49304064,Financial Services,10.0,10
TECHM.NS,1505.0,0.5533837205184938,Neutral,0.5,0.7474888664926349,0.47007211353497347,0.5,0.4749708118834047,-0.036385495198168805,29.411766,23.271997,0.34,0.027,0.25433347543078266,0.29149965458182775,1331.977650176,Technology,11.0,11
BAJFINANCE.NS,894.5,0.5515458376455079,Neutral,0.5,0.724268133096249,0.41165826868571676,0.5,0.6314715063430227,0.33444698961788366,31.844072,22.100636,0.197,0.201,0.2565852516823579,0.2273720027275667,5557.913124864,Financial Services,12.0,12
BHARTIARTL.NS,1933.300048828125,0.550827561312687,Neutral,0.5,0.742827800071896,0.38901603211297425,0.5,0.6231740487211801,0.332100336524187,32.784466,28.390528,0.418,0.285,0.21703770137228595,0.1388684791616455,11593.110781952,Communication Services,13.0,13
HDFCBANK.NS,1964.5999755859375,0.5506868966113052,Neutral,0.5,0.5776291703483573,0.6373065920362182,0.5,0.5381828561697227,0.22168324144522056,22.473118,20.388128,-0.022,0.011,0.19824449705662475,0.19025888157095427,15082.273636352,Financial Services,14.0,14
TITAN.NS,3621.0,0.5448357182070959,Neutral,0.5,0.7075043706088221,0.4458384674772117,0.5,0.5379193205944798,0.020081307372032065,86.21429,64.453545,0.526,0.246,0.22093267460808486,0.22498193792542567,3211.989876736,Consumer Cyclical,15.0,15
APOLLOHOSP.NS,7922.5,0.5398318268505179,Neutral,0.5,0.6694586622881107,0.500707332415695,0.5,0.4732569479535119,0.17644115905405755,72.464096,97.08946,0.418,0.149,0.22582561366605702,0.18497179961697258,1139.136659456,Healthcare,16.0,16
ITC.NS,398.29998779296875,0.5386968656296037,Neutral,0.5,0.6443208002881795,0.576828121901968,0.5,0.37251041177165306,-0.18472207889687597,25.003138,21.018469,0.027,0.165,0.1819605458560994,0.2327451598177079,4989.38413056,Consumer Defensive,17.0,17
BAJAJFINSV.NS,1965.9000244140625,0.5362497000304687,Neutral,0.5,0.691637025893351,0.38244049357273685,0.5,0.6185234484258351,0.21339820902935402,33.33164,39.787495,0.301,0.129,0.23506535229518308,0.22449886972091773,3138.067890176,Financial Services,18.0,18
ADANIPORTS.NS,1341.199951171875,0.5357220880619373,Neutral,0.5,0.6236192920130956,0.5037286571973901,0.5,0.5407153361918542,-0.10360813896406795,25.639456,40.131657,0.065,0.312,0.3691112832438301,0.33776690446362817,2897.179836416,Industrials,19.0,19
BEL.NS,374.8500061035156,0.5353645576998303,Neutral,0.5,0.6792709439481177,0.4885570090169894,0.5,0.4283541990940294,0.2370679306030139,49.780876,49.064137,0.231,0.046,0.35175265182225696,0.26896410665597764,2740.071170048,Industrials,20.0,20
GRASIM.NS,2813.800048828125,0.5339033356003441,Neutral,0.5,0.6167593586254025,0.44579665107559485,0.5,0.6555416572887449,0.05184121323473723,46.72534,120.66038,0.152,0.185,0.22786425424686838,0.19228382632065838,1909.312585728,Basic Materials,21.0,21
NTPC.NS,337.0,0.5336815378059334,Neutral,0.5,0.6751470736312306,0.48291192555762896,0.5,0.43312384286600014,-0.16439657160040588,18.516483,13.989207,0.097,-0.03,0.2825239901523189,0.3230229390342151,3267.777789952,Utilities,22.0,22
SHRIRAMFIN.NS,615.8499755859375,0.5323251854981226,Neutral,0.5,0.6034974767672058,0.48212237352826204,0.5,0.6002634160066866,-0.009481410510009614,12.063663,10.232335,0.067,0.126,0.34891200200834976,0.2900455860223037,1158.36452864,Financial Services,23.0,23
CIPLA.NS,1592.800048828125,0.5322911506887094,Neutral,0.5,0.6060394401417047,0.5270442016689575,0.5,0.5037245031949169,0.0075234833291546455,23.86575,25.067675,0.102,0.032,0.2377001861149742,0.1760191078345779,1286.590562304,Healthcare,24.0,24
AXISBANK.NS,1070.9000244140625,0.5315866686863373,Neutral,0.5,0.5517139237021873,0.6326696628462982,0.5,0.4212425519153083,-0.08735080577624688,11.961354,10.711216,-0.031,-0.017,0.2338994888971803,0.2802702662846881,3322.285391872,Financial Services,25.0,25
ULTRACEMCO.NS,12589.0,0.5302083400531046,Neutral,0.5,0.6451070310693842,0.470198562505246,0.5,0.4989186978470933,0.13105172311380842,54.6445,91.86369,0.285,0.177,0.22872056405096522,0.1618227365983976,3703.0920192,Basic Materials,26.0,26
SBILIFE.NS,1859.0,0.5227947860706225,Neutral,0.5,0.592457166073398,0.47985486242918496,0.5,0.5370952206643594,0.03439865555387556,74.62866,70.92713,0.145,0.125,0.2304521007701136,0.28084413906425737,1863.610269696,Financial Services,27.0,27
TATACONSUM.NS,1084.0999755859375,0.5193457421807225,Neutral,0.5,0.5961309049648255,0.5311255111488586,0.5,0.39087913709744354,-0.07253651550275797,80.6622,72.56359,0.105,0.098,0.23211239572383108,0.2900937787246127,1072.753803264,Consumer Defensive,28.0,28
INFY.NS,1487.5,0.5180190652958325,Neutral,0.5,0.6463628537541078,0.5117228348935522,0.5,0.29083784878595087,-0.1853449264262631,22.221392,20.568308,0.056,0.048,0.23472761766745157,0.3015202191373786,6166.089302016,Technology,29.0,29
TCS.NS,3054.0,0.5147297192237288,Neutral,0.5,0.666902747844585,0.456462815670068,0.5,0.3171146912856895,-0.31747137366782296,22.42126,19.743988,0.06,0.013,0.20488580470506684,0.32920079800331103,11049.646424064,Technology,30.0,30
HDFCLIFE.NS,788.75,0.501546145430434,Neutral,0.5,0.5663144748957465,0.4689563513727626,0.5,0.4117625643194474,0.09161573384027522,90.039955,125.19841,0.14,0.093,0.22731950214597665,0.24443341639675872,1700.11131904,Financial Services,31.0,31
WIPRO.NS,248.63999938964844,0.499574147644419,Neutral,0.5,0.5904642231614186,0.4010256686680755,0.5,0.46752958120449184,-0.01750346951544479,19.37958,9.835443,0.105,0.008,0.272487356522227,0.2661024978252616,2603.58406144,Technology,32.0,32
EICHERMOT.NS,5924.5,0.49634274251605337,Neutral,0.5,0.5470061864498649,0.4849650784238678,0.5,0.3759818021881357,0.22138186524084924,33.669582,28.616179,0.094,0.078,0.24788168979123823,0.14254589700823056,1624.960139264,Consumer Cyclical,33.0,33
BAJAJ-AUTO.NS,8679.5,0.49506019584531247,Neutral,0.5,0.5741731511407686,0.4248753443254512,0.5,0.4154183919503008,-0.09668366587265664,31.948687,50.692093,0.136,0.112,0.2682111144829721,0.4231352548080208,2423.194648576,Consumer Cyclical,34.0,34
MARUTI.NS,14349.0,0.4920231582121496,Neutral,0.5,0.48066767037187236,0.5383688161514136,0.5,0.391824773888988,0.1868393362108718,31.055752,27.496408,0.009,0.079,0.21743196952253646,0.20443700416091193,4511.368740864,Consumer Cyclical,35.0,35
DRREDDY.NS,1277.5999755859375,0.4907989655145508,Neutral,0.5,0.4769407801455733,0.45111417597918585,0.5,0.5634093528232029,-0.08976156692419979,18.760647,3.7235873,0.02,0.114,0.20734246573576923,0.2297998077089485,1063.442251776,Healthcare,36.0,36
TRENT.NS,5418.0,0.4874761562992057,Neutral,0.5,0.5399190212340081,0.4516441344151031,0.5,0.37167574107683,-0.20056997245454944,121.94463,79.53611,0.095,0.19,0.38472885470116225,0.43895224971484575,1926.028591104,Consumer Cyclical,37.0,37
POWERGRID.NS,283.3500061035156,0.4871316330804239,Neutral,0.5,0.5179988142248229,0.44706894778817674,0.5,0.4321813996658287,-0.1325240340528312,17.698313,13.32158,-0.025,0.017,0.2767147160462539,0.29559045252296623,2635.324981248,Utilities,38.0,38
HINDUNILVR.NS,2629.89990234375,0.48069805077315064,Neutral,0.5,0.4930156042950763,0.48886119245083826,0.5,0.3467191120921394,-0.04065094954633375,57.14689,51.302174,0.056,0.051,0.19274388792826222,0.2822537169610304,6179.186540544,Consumer Defensive,39.0,39
ONGC.NS,236.2899932861328,0.47592417558411587,Neutral,0.5,0.5207680554700788,0.44870093591489624,0.5,0.30991974533616895,-0.2407008352167691,8.244592,6.61321,-0.014,-0.021,0.31699476913822927,0.32260463296827746,2972.717154304,Energy,40.0,40
BRITANNIA.NS,5545.5,0.47218058196512125,Neutral,0.5,0.47127904196363385,0.4704024066734725,0.5,0.35280340139518307,-0.03754717061079216,60.973064,68.15165,0.03,0.088,0.20000389031466742,0.29023197604557,1335.761174528,Consumer Defensive,41.0,41
KOTAKBANK.NS,1986.5999755859375,0.4691968704410001,Neutral,0.5,0.3509344338232693,0.5811982653547876,0.5,0.4022360891422527,0.09704654974437443,20.618578,17.45646,-0.4,0.02,0.22956578419334212,0.1949931614536883,3949.996539904,Financial Services,42.0,42
HCLTECH.NS,1466.300048828125,0.4667829871256132,Neutral,0.5,0.5003851931990595,0.4612505730451273,0.5,0.2443657421682289,-0.09687215350856915,23.419582,20.87557,-0.077,0.054,0.24268270510868237,0.30662011541191225,3972.661248,Technology,43.0,43
COALINDIA.NS,374.45001220703125,0.4389900616428212,Neutral,0.5,0.3656330588104379,0.472378938639625,0.5,0.281060092122868,-0.23864751289833952,6.9639206,14.724735,-0.202,-0.039,0.2964679099346112,0.3084012771642543,2307.634233344,Energy,44.0,44
SUNPHARMA.NS,1641.800048828125,0.4348671793592337,Neutral,0.5,0.3374648411537466,0.5021676704042773,0.5,0.25067434989941584,-0.0609289060823196,37.881866,50.238678,-0.195,0.095,0.1957317104472726,0.19128608185075716,3939.220062208,Healthcare,45.0,45
ASIANPAINT.NS,2504.5,0.4208873715669788,Neutral,0.5,0.34243069013412397,0.4339936545316186,0.5,0.23480968127124094,-0.19660498845158514,66.66223,88.686264,-0.06,-0.002,0.19744789788846448,0.3687269334333259,2400.721043456,Basic Materials,46.0,46
TATAMOTORS.NS,680.2999877929688,0.4178229166009615,Neutral,0.5,0.31832486878459443,0.39333021835414034,0.5,0.3457565573398477,-0.3677210289108169,11.172606,10.581492,,-0.034,0.29055191113354545,0.5010113132289322,2504.667430912,Consumer Cyclical,47.0,47
NESTLEIND.NS,1162.9000244140625,0.41585553866924224,Neutral,0.5,0.3201653388309427,0.43133598304511994,0.5,0.24547007352482533,-0.07496415738416151,71.96164,59.983864,-0.133,0.059,0.19559787985693866,0.21977861304942065,2242.431680512,Consumer Defensive,48.0,48
INDUSINDBK.NS,760.0999755859375,0.3793766519530604,Weak,0.5,0.226201618205644,0.4415823710891593,0.5,0.09509773183817498,-0.45079481532807986,58.83127,7.870159,-0.722,-0.259,0.3603310031900842,0.6186029724730101,592.175628288,Financial Services,49.0,49
ADANIENT.NS,2324.89990234375,0.3710913184677952,Weak,0.5,0.3360730043606941,0.2698367269000807,0.5,0.08105721997605507,-0.253429825912742,42.73713,35.367764,-0.511,-0.138,0.4140177250167839,0.4247732397650033,2683.352907776,Energy,50.0,50
